index,Name,Mark1,Mark2,MArk3,Mark4,Mark5,Mark6
1,Victoria,1,167,,,,
2,Brixton,5,163,,,,
3,Herne Hill,7,8,160,161,,
4,West Dulwich,10,158,,,,
5,Sydenham Hill,11,157,,,,
6,Penge East,12,156,,,,
7,Kent House,13,14,154,155,,
8,Beckenham Junction,16,152,,,,
9,Shortlands,18,19,149,150,,
10,Bromley South,20,21,147,148,,
11,Bickley,22,23,24,144,145,146
12,St Mary Cray,26,142,,,,
13,Swanley,27,28,140,141,,
14,Farningham Road,29,139,,,,
15,Longfield,205,301,,,,
16,Meopham,31,137,,,,
17,Sole Street,204,32,136,305,,
18,Chatham Goods,36,132,,,,
19,Rochester,37,38,130,131,,
20,Chatham,39,40,128,129,,
21,Gillingham,41,201,126,127,,
22,Rainham,42,203,125,,,
23,Newington,43,124,,,,
24,Sittingbourne,47,48,202,120,121,300
25,Teynham,50,118,,,,
26,Faversham,51,52,116,117,,
27,Whitstable,54,114,,,,
28,Chestfield,55,113,,,,
29,Herne Bay,56,111,112,,,
30,Birchington,59,108,,,,
31,Westage,60,107,,,,
32,Margate,61,62,105,106,,
33,Broadstairs,63,104,,,,
34,Dumpton Park,64,103,,,,
35,Ramsgate,65,66,101,102,,
36,Selling,67,,,,,
37,Canterbury East,68,,,,,
38,Bekesbourne,69,,,,,
39,Adisham,70,,,,,
40,Aylesham,71,,,,,
41,Snowdown,72,,,,,
42,Sheperdswell,73,,,,,
43,Kearsney,74,,,,,
44,Dover Priory,75,,,,,
45,Sheerness,76,173,,,,
46,Queenborough,77,182,,,,
47,Swale,78,171,,,,
48,Kemsley,80,169,,,,
